,,,
,,,
,,,
,,,
,,,
,,,
,,,
,FID,x,y
,0,1936840.045,3882643.181
,1,1936769.519,3882311.969
,2,1936879.182,3882065.764
,3,1936865.072,3881864.906
,4,1936972.971,3881755.347
,5,1937132.253,3881740.339
,6,1937162.51,3881642.089
,7,1937185.627,3881590.074
,8,1937254.967,3881579.685
,9,1937312.842,3881591.434
,10,1937347.872,3881605.359
,11,1937374.852,3881615.803
,12,1937399.597,3881612.937
,13,1937398.658,3881581.214
,14,1937401.845,3881553.061
,15,1937420.437,3881497.285
,16,1937426.787,3881446.215
,17,1937426.787,3881446.215
,18,1937420.939,3881408.664
,19,1937417.781,3881388.39
,20,1937432.123,3881354.394
,21,1937451.246,3881346.957
,22,1937468.245,3881341.645
,23,1937488.961,3881321.46
,24,1937490.555,3881283.745
,25,1937497.992,3881252.404
,26,1937504.603,3881220.341
,27,1937516.669,3881191.209
,28,1937531.557,3881155.262
,29,1937558.116,3881125.382
,30,1937564.909,3881086.154
,31,1937560.606,3881058.983
,32,1937546.496,3881004.203
,33,1937539.856,3880959.383
,34,1937536.536,3880927.014
,35,1937536.536,3880927.014
,36,1937563.926,3880907.094
,37,1937597.126,3880901.284
,38,1937639.456,3880903.774
,39,1937693.405,3880907.094
,40,1937713.934,3880887.921
,41,1937743.85,3880860.509
,42,1937775.127,3880839.431
,43,1937811.163,3880840.111
,44,1937841.726,3880828.811
,45,1937843.8,3880815.974
,46,1937851.279,3880786.397
,47,1937825.442,3880753.76
,48,1937814.459,3880727.184
,49,1937830.201,3880684.067
,50,1937835.981,3880646.671
,51,1937840.06,3880621.854
,52,1937835.641,3880587.177
,53,1937810.483,3880562.02
,54,1937797.565,3880541.962
,55,1937794.505,3880522.924
,56,1937801.835,3880486.785
,57,1937814.223,3880459.01
,58,1937813.543,3880432.493
,59,1937803.228,3880392.814
,60,1937809.463,3880363.82
,61,1937820.682,3880322.684
,62,1937847.879,3880286.988
,63,1937895.815,3880274.069
,64,1937904.314,3880242.793
,65,1937879.496,3880228.854
,66,1937860.798,3880230.214
,67,1937833.601,3880217.635
,68,1937819.662,3880188.058
,69,1937809.463,3880170.04
,70,1937766.968,3880133.324
,71,1937746.91,3880105.787
,72,1937727.872,3880077.91
,73,1937706.454,3880034.734
,74,1937696.255,3879990.878
,75,1937691.813,3879964.228
,76,1937687.416,3879937.844
,77,1937688.436,3879903.167
,78,1937694.215,3879865.771
,79,1937698.977,3879840.581
,80,1937704.754,3879810.017
,81,1937721.752,3879776.7
,82,1937740.111,3879742.704
,83,1937726.852,3879714.147
,84,1937740.45,3879660.092
,85,1937764.248,3879617.257
,86,1937762.888,3879584.96
,87,1937772.067,3879565.582
,88,1937792.465,3879553.683
,89,1937810.483,3879490.45
,90,1937810.483,3879490.45
,91,1937829.521,3879456.453
,92,1937841.42,3879416.677
,93,1937841.76,3879373.842
,94,1937850.259,3879360.243
,95,1937880.856,3879335.086
,96,1937908.393,3879304.829
,97,1937937.97,3879268.113
,98,1937960.3,3879224.452
,99,1937948.213,3879180.708
,100,1937942.403,3879157.469
,101,1937923.313,3879118.459
,102,1937906.515,3879093.262
,103,1937881.814,3879056.209
,104,1937864.384,3879008.9
,105,1937840.564,3878991.886
,106,1937799.644,3878959.1
,107,1937775.574,3878920.091
,108,1937782.214,3878897.681
,109,1937797.154,3878873.611
,110,1937852.598,3878843.786
,111,1937897.067,3878839.249
,112,1937957.333,3878840.197
,113,1937990.858,3878845.15
,114,1938042.832,3878857.841
,115,1938089.312,3878871.951
,116,1938122.512,3878884.401
,117,1938135.426,3878899.739
,118,1938168.892,3878917.269
,119,1938206.075,3878915.144
,120,1938235.291,3878895.49
,121,1938253.883,3878862.555
,122,1938249.102,3878833.871
,123,1938225.729,3878808.373
,124,1938217.762,3878784.47
,125,1938210.325,3878750.473
,126,1938131.708,3878679.824
,127,1938103.023,3878645.828
,128,1938098.774,3878621.393
,129,1938114.178,3878605.988
,130,1938143.925,3878588.99
,131,1938169.423,3878540.651
,132,1938186.732,3878514.587
,133,1938167.279,3878479.572
,134,1938130.967,3878456.228
,135,1938099.668,3878400.216
,136,1938086.874,3878368.041
,137,1938070.597,3878323.6
,138,1938038.89,3878272.073
,139,1938022.031,3878242.246
,140,1937998.687,3878221.496
,141,1937972.75,3878200.746
,142,1937961.078,3878177.402
,143,1937955.89,3878139.793
,144,1937957.011,3878110.666
,145,1937957.793,3878090.331
,146,1937958.484,3878072.356
,147,1937945.516,3878039.935
,148,1937196.82,3877179.871
,149,1937204.925,3877218.371
,150,1937229.241,3877271.057
,151,1937242.367,3877310.433
,152,1937251.531,3877337.926
,153,1937215.057,3877510.166
,154,1937201.332,3877553.835
,155,1937201.332,3877553.835
,156,1937162.372,3877627.694
,157,1937128.987,3877704.811
,158,1937089.17,3877780.51
,159,1937069.25,3877813.71
,160,1937041.861,3877835.29
,161,1937028.581,3877861.849
,162,1937032.685,3877874.909
,163,1937063.081,3877907.33
,164,1937113.739,3877949.884
,165,1937186.688,3878004.595
,166,1937251.531,3878059.307
,167,1937253.506,3878089.01
,168,1937255.3,3878116.001
,169,1937251.531,3878154.545
,170,1937235.32,3878193.046
,171,1937235.32,3878298.416
,172,1937219.11,3878389.602
,173,1937231.268,3878486.867
,174,1937217.083,3878535.499
,175,1937225.189,3878606.421
,176,1937247.478,3878685.449
,177,1937251.531,3878762.45
,178,1937247.478,3878841.478
,179,1937257.61,3878904.295
,180,1937261.663,3879021.823
,181,1937265.716,3879125.167
,182,1937252.114,3879182.975
,183,1937241.399,3879228.511
,184,1937202.899,3879299.433
,185,1937171.592,3879367.739
,186,1937158.319,3879396.698
,187,1937118.88,3879446.893
,188,1937004.316,3879591.227
,189,1936961.763,3879714.835
,190,1936947.579,3879767.52
,191,1936960.521,3879892.012
,192,1936975.461,3879937.662
,193,1936982.027,3880107.947
,194,1936980,3880251.818
,195,1936953.658,3880403.794
,196,1936940.712,3880476.938
,197,1936924.872,3880566.432
,198,1936913.131,3880632.771
,199,1936902.702,3880722.158
,200,1936893.574,3880796.658
,201,1936882.735,3880882.012
,202,1936871.904,3880937.373
,203,1936864.498,3880975.225
,204,1936830.175,3881054.947
,205,1936760.785,3881121.725
,206,1936730.613,3881142.812
,207,1936704.417,3881161.649
,208,1936665.916,3881210.281
,209,1936615.257,3881252.835
,210,1936572.704,3881303.493
,211,1936515.966,3881341.994
,212,1936479.492,3881356.178
,213,1936428.833,3881370.363
,214,1936293.068,3881392.653
,215,1936189.724,3881607.446
,216,1936153.249,3881741.185
,217,1935962.772,3882037.032
,218,1935910.087,3882097.823
,219,1935873.613,3882160.639
,220,1935815.233,3882215.162
,221,1935788.571,3882240.063
,222,1935788.571,3882240.063
,223,1935751.652,3882271.075
,224,1935689.802,3882318.912
,225,1935638.342,3882345.472
,226,1935551.504,3882390.914
,227,1935456.076,3882434.845
,228,1935406.59,3882499.481
,229,1935448.274,3882525.58
,230,1935466.7,3882557.552
,231,1935521.97,3882580.296
,232,1935616.267,3882600.357
,233,1935695.294,3882632.779
,234,1935762.164,3882683.438
,235,1935816.875,3882742.202
,236,1935849.297,3882831.361
,237,1935873.613,3882873.915
,238,1935958.446,3882929.808
,239,1936004.708,3882968.739
,240,1936045.853,3883005.627
,241,1936096.512,3883072.497
,242,1936143.118,3883102.892
,243,1936250.514,3883181.92
,244,1936299.703,3883245.437
,245,1937490.316,3881668.56
,246,1937508.615,3881692.234
,247,1937539.956,3881706.576
,248,1937953.193,3881747.047
,249,1937961.768,3881701.243
,250,1937967.207,3881666.907
,251,1937972.987,3881626.111
,252,1937986.925,3881591.434
,253,1937991.345,3881562.877
,254,1937987.945,3881541.799
,255,1938012.423,3881486.045
,256,1938001.544,3881469.047
,257,1938002.514,3881408.911
,258,1938006.303,3881389.495
,259,1937999.844,3881374.197
,260,1937983.186,3881357.538
,261,1937966.881,3881279.863
,262,1937968.221,3881244.239
,263,1937966.346,3881232.176
,264,1937964.052,3881217.418
,265,1937948.123,3881180.78
,266,1937940.119,3881162.371
,267,1937926.666,3881102.607
,268,1937921.354,3881065.954
,269,1937936.228,3881020.803
,270,1937961.725,3880967.683
,271,1937998.378,3880927.844
,272,1938013.782,3880893.847
,273,1938026.531,3880871.006
,274,1938036.624,3880845.508
,275,1938045.654,3880809.357
,276,1938055.809,3880785.588
,277,1938065.84,3880762.111
,278,1938071.491,3880738.733
,279,1938077.526,3880713.772
,280,1938080.929,3880677.404
,281,1938088.482,3880596.676
,282,1938127.989,3880587.347
,283,1938211.387,3880591.066
,284,1938264.507,3880589.472
,285,1938307.379,3880591.876
,286,1938363.05,3880596.675
,287,1938393.056,3880599.565
,288,1938443.52,3880609.657
,289,1938480.172,3880614.969
,290,1938520.543,3880610.72
,291,1938655.792,3880551.717
,292,1938811.821,3880507.138
,293,1938857.949,3880456.681
,294,1938890.848,3880371.372
,295,1938852.348,3880290.318
,296,1938808.11,3880258.748
,297,1938775.716,3880235.629
,298,1938747.178,3880219.246
,299,1938730.896,3880209.9
,300,1938681.949,3880161.751
,301,1938650.387,3880111.96
,302,1938580.668,3880061.331
,303,1938521.738,3880029.791
,304,1938463.639,3879984.972
,305,1938424.629,3879961.732
,306,1938416.329,3879926.872
,307,1938403.418,3879913.283
,308,1938380.639,3879911.102
,309,1938340.8,3879899.482
,310,1938326.69,3879828.933
,311,1938329.281,3879772.73
,312,1938331.576,3879722.94
,313,1938353.856,3879692.452
,314,1938370.076,3879670.255
,315,1938375.065,3879634.089
,316,1938382.514,3879591.564
,317,1938388.314,3879564.885
,318,1938416.682,3879534.49
,319,1938434.908,3879479.814
,320,1938452.77,3879421.938
,321,1938463.288,3879384.54
,322,1938476.11,3879345.362
,323,1938489.76,3879303.655
,324,1938507.18,3879253.62
,325,1938520.699,3879218.134
,326,1938527.6,3879200.017
,327,1938532.184,3879187.984
